p1_mean,p1_std,p1_5_freq,p1_4_freq,p1_6_freq,p1_high_freq,p1_low_freq,p1_entropy,p2_mean,p2_std,p2_high_freq,p1_win_rate,mean_diff,diff_std,label,mode
2.95,1.394538218230416,0.05,0.25,0.05,0.35,0.65,2.3282129371848312,2.95,1.6050905860647504,0.25,0.45,0.0,1.9194297398747862,0,0
3.05,1.3945382182304162,0.05,0.3,0.05,0.4,0.6,2.2709505857984986,2.95,1.6050905860647504,0.25,0.5,0.1,1.9166857359844665,0,0
3.1,1.4473205733717955,0.1,0.25,0.05,0.4,0.6,2.3659573122930047,2.85,1.6630662866176473,0.25,0.5,0.25,2.0994986870303363,0,0
3.3,1.5593520921743174,0.1,0.25,0.1,0.45,0.55,2.3659573122930047,2.75,1.6503588126605426,0.2,0.55,0.55,2.187885304412267,0,0
3.35,1.4964871146156007,0.1,0.25,0.1,0.45,0.55,2.4282129371848313,2.7,1.688973528196155,0.2,0.6,0.65,2.1588252165910684,0,0
3.6,1.5008769366431642,0.1,0.25,0.15,0.5,0.5,2.4282129371848313,2.85,1.663066286617647,0.25,0.65,0.75,2.173403830521681,0,0
3.7,1.5927467172350909,0.1,0.2,0.2,0.5,0.5,2.4464393360148455,2.65,1.4964871146156007,0.2,0.7,1.05,2.187885304412267,0,0
3.8,1.6733200530681513,0.1,0.15,0.25,0.5,0.5,2.4282129371848313,2.75,1.51744244666721,0.25,0.7,1.05,2.187885304412267,0,0
3.85,1.6630662866176475,0.1,0.2,0.25,0.55,0.45,2.460964038787511,2.75,1.51744244666721,0.25,0.7,1.1,2.1980852911951394,0,0
3.65,1.6311119875071343,0.1,0.2,0.2,0.5,0.5,2.5037016874011777,2.9,1.5861240410775606,0.3,0.65,0.75,2.2682012349227887,0,0
3.7,1.6254554017744982,0.1,0.25,0.2,0.55,0.45,2.5037016874011777,2.95,1.5719582155957412,0.3,0.65,0.75,2.2682012349227887,0,0
3.65,1.6630662866176473,0.1,0.25,0.2,0.55,0.45,2.5037016874011777,2.9,1.618966531951463,0.3,0.65,0.75,2.2682012349227887,0,0
3.6,1.6670175069329813,0.1,0.2,0.2,0.5,0.5,2.5219280862311924,2.8,1.4725559590832462,0.3,0.65,0.8,2.2147828692435603,0,0
3.7,1.7501879598308412,0.1,0.15,0.25,0.5,0.5,2.5037016874011777,2.55,1.3168942730211068,0.25,0.7,1.15,2.300457620378584,0,0
3.8,1.6415653633362466,0.1,0.15,0.25,0.5,0.5,2.4232196636793377,2.5,1.3572417850765923,0.25,0.75,1.3,2.250146194080918,0,0
3.95,1.7006190823220513,0.1,0.15,0.3,0.55,0.45,2.408694960906672,2.7,1.4179302929937965,0.3,0.75,1.25,2.2448772091610105,0,0
3.95,1.700619082322051,0.1,0.15,0.3,0.55,0.45,2.408694960906672,2.65,1.4608937423083819,0.3,0.75,1.3,2.2501461940809184,0,0
3.95,1.700619082322051,0.1,0.15,0.3,0.55,0.45,2.408694960906672,2.55,1.5035046776746235,0.3,0.8,1.4,2.233712981609438,0,0
3.9,1.6827296120792612,0.05,0.2,0.3,0.55,0.45,2.3464393360148454,2.6,1.5008769366431642,0.3,0.8,1.3,2.202868942753374,0,0
4.05,1.637552731171861,0.1,0.2,0.3,0.6,0.4,2.408694960906672,2.4,1.4290224851827542,0.25,0.85,1.65,2.0332758116683998,0,0
4.05,1.637552731171861,0.1,0.2,0.3,0.6,0.4,2.408694960906672,2.55,1.637552731171861,0.3,0.85,1.5,2.3951705795753164,0,0
3.9,1.7740824166460338,0.1,0.15,0.3,0.55,0.45,2.4709505857984984,2.6,1.6670175069329813,0.35,0.8,1.3,2.5975697143777743,0,0
3.85,1.755442664221313,0.05,0.2,0.3,0.55,0.45,2.408694960906672,2.75,1.6503588126605426,0.4,0.75,1.1,2.5319017192200555,0,0
3.6,1.7888543819998315,0.05,0.2,0.25,0.5,0.5,2.4659573122930047,2.8,1.6415653633362464,0.4,0.7,0.8,2.5256578090511494,0,0
3.7,1.7501879598308412,0.05,0.25,0.25,0.55,0.45,2.4232196636793377,3.0,1.6543403837370223,0.45,0.65,0.7,2.556724878680371,0,0
3.55,1.669383750149485,0.05,0.25,0.2,0.5,0.5,2.4232196636793377,2.9,1.651155894963793,0.4,0.65,0.65,2.539685019840059,0,0
3.3,1.6575187543592476,0.05,0.25,0.15,0.45,0.55,2.4232196636793377,3.1,1.7740824166460338,0.45,0.6,0.2,2.706716791515818,0,0
3.15,1.5312533566021216,0.05,0.25,0.1,0.4,0.6,2.3659573122930047,3.1,1.774082416646034,0.45,0.55,0.05,2.6847522673129647,0,0
3.15,1.5312533566021216,0.05,0.25,0.1,0.4,0.6,2.3659573122930047,3.25,1.8027756377319946,0.5,0.5,-0.1,2.653696528082647,0,0
3.25,1.51744244666721,0.05,0.3,0.1,0.45,0.55,2.2709505857984986,3.15,1.755442664221313,0.45,0.55,0.1,2.573140616363386,0,0
3.35,1.6311119875071343,0.05,0.25,0.15,0.45,0.55,2.3282129371848312,3.25,1.8027756377319946,0.5,0.55,0.1,2.573140616363386,0,0
3.3,1.688973528196155,0.05,0.25,0.15,0.45,0.55,2.1477309149056856,3.25,1.8027756377319946,0.5,0.5,0.05,2.564432839727663,0,0
3.2,1.7651599003161755,0.05,0.25,0.15,0.45,0.55,2.1477309149056856,3.25,1.8027756377319946,0.5,0.5,-0.05,2.6452539426400317,0,0
3.0,1.6543403837370223,0.05,0.25,0.1,0.4,0.6,2.285475288571164,3.4,1.729009451741235,0.55,0.45,-0.4,2.3929721664644754,0,0
2.95,1.669383750149485,0.05,0.25,0.1,0.4,0.6,2.3659573122930047,3.55,1.637552731171861,0.6,0.4,-0.6,2.348571794449599,0,0
2.95,1.669383750149485,0.05,0.25,0.1,0.4,0.6,2.3659573122930047,3.4,1.635140425323255,0.55,0.4,-0.45,2.54382637606794,0,0
3.0,1.6858544608470492,0.05,0.3,0.1,0.45,0.55,2.3332062106903253,3.45,1.5719582155957414,0.55,0.4,-0.45,2.54382637606794,0,0
2.95,1.700619082322051,0.05,0.3,0.1,0.45,0.55,2.3332062106903253,3.45,1.5719582155957414,0.55,0.4,-0.5,2.5026301953618404,0,0
2.85,1.6944180805158293,0.05,0.25,0.1,0.4,0.6,2.3659573122930047,3.35,1.6630662866176473,0.55,0.4,-0.5,2.5026301953618404,0,0
2.75,1.6181535936466533,0.0,0.25,0.1,0.35,0.65,2.228212938627526,3.55,1.6050905860647504,0.6,0.35,-0.8,2.2849622823099174,0,0
2.8,1.5761378513048248,0.0,0.25,0.1,0.35,0.65,2.2427376414001916,3.55,1.6050905860647506,0.6,0.35,-0.75,2.197486602557807,0,0
2.9,1.5183093090324964,0.0,0.25,0.1,0.35,0.65,2.260964040230206,3.45,1.6375527311718607,0.55,0.4,-0.55,2.1636956688426454,0,0
3.0,1.6543403837370223,0.0,0.2,0.15,0.35,0.65,2.303701688843873,3.3,1.7198531149031608,0.5,0.45,-0.3,2.494203807145468,0,0
3.2,1.6415653633362466,0.05,0.2,0.15,0.4,0.6,2.4659573122930047,3.45,1.820208200931103,0.55,0.45,-0.25,2.468219046834761,0,0
3.25,1.6819474927657678,0.1,0.15,0.15,0.4,0.6,2.528212937184831,3.4,1.7888543819998317,0.55,0.5,-0.15,2.4767338424456895,0,0
3.15,1.7554426642213128,0.1,0.15,0.15,0.4,0.6,2.528212937184831,3.4,1.7888543819998317,0.55,0.45,-0.25,2.468219046834761,0,0
3.2,1.7044832524535807,0.1,0.15,0.15,0.4,0.6,2.4954618355821516,3.25,1.6819474927657678,0.5,0.45,-0.05,2.211810403980842,0,0
3.35,1.8144159564878983,0.1,0.15,0.2,0.45,0.55,2.4709505857984984,3.15,1.694418080515829,0.45,0.5,0.2,2.375311613906246,0,0
3.2,1.880649383926509,0.1,0.1,0.2,0.4,0.6,2.4464393360148455,3.15,1.694418080515829,0.45,0.5,0.05,2.54382637606794,0,0
3.25,1.9159991209755154,0.15,0.05,0.2,0.4,0.6,2.408694960906672,3.3,1.8093325317714033,0.5,0.45,-0.05,2.54382637606794,0,0
3.2,1.8524521444205841,0.2,0.05,0.15,0.4,0.6,2.408694960906672,3.1,1.8324559303956276,0.45,0.45,0.1,2.693071031173773,0,0
3.45,1.8771478925557026,0.2,0.05,0.2,0.45,0.55,2.408694960906672,3.35,1.8715318802914815,0.5,0.45,0.1,2.6930710311737727,0,0
3.6,1.7888543819998317,0.2,0.1,0.2,0.5,0.5,2.4464393360148455,3.3,1.8666040089734592,0.45,0.5,0.3,2.5975697143777743,0,0
3.8,1.823819012257983,0.2,0.1,0.25,0.55,0.45,2.460964038787511,3.3,1.8666040089734592,0.45,0.55,0.5,2.564945880212885,0,0
3.85,1.7851728502481654,0.2,0.1,0.25,0.55,0.45,2.5037016874011777,3.25,1.860248992954834,0.4,0.55,0.6,2.500526260399472,0,0
3.85,1.7851728502481654,0.2,0.1,0.25,0.55,0.45,2.5037016874011777,3.35,1.8431951662948316,0.45,0.55,0.5,2.3951705795753164,0,0
3.9,1.8035053587243282,0.25,0.05,0.25,0.55,0.45,2.4232196636793377,3.4,1.8180382718454353,0.45,0.55,0.5,2.3951705795753164,0,0
3.9,1.8035053587243284,0.25,0.05,0.25,0.55,0.45,2.4232196636793377,3.5,1.7320508075688772,0.45,0.5,0.4,2.4148662379867796,0,0
3.9,1.8035053587243284,0.25,0.05,0.25,0.55,0.45,2.4232196636793377,3.6,1.635140425323255,0.45,0.45,0.3,2.430074722697789,0,0
4.05,1.8488972531299783,0.25,0.05,0.3,0.6,0.4,2.3659573122930047,3.5,1.6059101370939324,0.4,0.5,0.55,2.438183102661747,0,0
4.1,1.8035053587243282,0.25,0.05,0.3,0.6,0.4,2.390468562076658,3.35,1.496487114615601,0.35,0.5,0.75,2.197486602557807,0,0
4.15,1.7851728502481652,0.25,0.1,0.3,0.65,0.35,2.4282129371848313,3.45,1.4680814547887788,0.4,0.45,0.7,2.202868942753374,0,0
4.05,1.731290969494334,0.25,0.15,0.25,0.65,0.35,2.485475288571164,3.55,1.3562719801759995,0.4,0.45,0.5,1.9601288894248496,0,0
3.95,1.7312909694943341,0.2,0.15,0.25,0.6,0.4,2.528212937184831,3.3,1.3416407864998738,0.35,0.5,0.65,1.954078056944394,0,0
3.8,1.7651599003161755,0.15,0.15,0.25,0.55,0.45,2.528212937184831,3.2,1.361114094757441,0.3,0.45,0.6,1.9574419397183715,0,0
3.85,1.6944180805158293,0.15,0.15,0.25,0.55,0.45,2.4477309134629905,3.3,1.3416407864998738,0.35,0.45,0.55,2.0124611797498106,0,0
3.85,1.6944180805158293,0.15,0.15,0.25,0.55,0.45,2.4477309134629905,3.4,1.391704747876919,0.4,0.45,0.45,2.139232523470435,0,0
3.75,1.6181535936466533,0.15,0.2,0.2,0.55,0.45,2.4659573122930047,3.4,1.391704747876919,0.4,0.45,0.35,2.007223796297028,0,0
3.85,1.4964871146156007,0.15,0.2,0.2,0.55,0.45,2.303701688843873,3.45,1.4680814547887788,0.4,0.45,0.4,1.9029063643750175,0,0
3.85,1.496487114615601,0.15,0.2,0.2,0.55,0.45,2.303701688843873,3.3,1.3416407864998738,0.35,0.5,0.55,1.9049796241485244,0,0
3.7,1.5252264715358452,0.1,0.2,0.2,0.5,0.5,2.24643933745754,3.4,1.231174022502185,0.35,0.45,0.3,1.7501879598308412,0,0
3.65,1.4608937423083819,0.15,0.2,0.15,0.5,0.5,2.2709505872411935,3.4,1.231174022502185,0.35,0.45,0.25,1.7733405882980469,0,0
3.5,1.5727950313140984,0.15,0.15,0.15,0.45,0.55,2.433206210690325,3.55,1.3562719801759993,0.4,0.4,-0.05,2.114486375359025,0,0
3.35,1.460893742308382,0.15,0.15,0.1,0.4,0.6,2.390468562076658,3.65,1.460893742308382,0.4,0.35,-0.3,2.1545545393788235,0,0
3.35,1.460893742308382,0.15,0.15,0.1,0.4,0.6,2.390468562076658,3.7,1.4545753585442767,0.45,0.35,-0.35,2.1588252165910684,0,0
3.3,1.3803127029389888,0.2,0.15,0.05,0.4,0.6,2.3282129371848312,3.6,1.500876936643164,0.4,0.35,-0.3,2.2266330494363245,0,0
3.1,1.410487037944882,0.15,0.15,0.05,0.35,0.65,2.390468562076658,3.5,1.6059101370939324,0.4,0.3,-0.4,2.1618705350983247,0,0
3.25,1.446411166701189,0.2,0.15,0.05,0.4,0.6,2.4232196636793377,3.65,1.6944180805158293,0.45,0.3,-0.4,2.1618705350983243,0,0
3.2,1.5078740698501039,0.2,0.15,0.05,0.4,0.6,2.4659573122930047,3.75,1.7129537431920892,0.5,0.3,-0.55,2.3050288273114594,0,0
3.2,1.5078740698501039,0.2,0.15,0.05,0.4,0.6,2.4659573122930047,3.8,1.7044832524535807,0.55,0.3,-0.6,2.2337129816094383,0,0
3.3,1.5593520921743174,0.25,0.15,0.05,0.45,0.55,2.4659573122930047,3.7,1.8093325317714033,0.55,0.35,-0.4,2.4580694178883347,0,0
3.15,1.6311119875071343,0.25,0.1,0.05,0.4,0.6,2.4414460625093515,3.8,1.8806493839265088,0.55,0.35,-0.65,2.6611236249690506,0,0
3.05,1.637552731171861,0.25,0.05,0.05,0.35,0.65,2.360964038787511,3.7,1.9761738683361687,0.55,0.35,-0.65,2.6611236249690506,0,0
2.95,1.700619082322051,0.25,0.05,0.05,0.35,0.65,2.342737639957497,3.75,1.9159991209755154,0.55,0.3,-0.8,2.587418953726911,0,0
3.1,1.7441631985447619,0.3,0.05,0.05,0.4,0.6,2.3282129371848312,3.75,1.9159991209755154,0.55,0.35,-0.65,2.719810364906464,0,0
3.3,1.8381913307436342,0.3,0.05,0.1,0.45,0.55,2.390468562076658,3.8,1.935812083093974,0.55,0.4,-0.5,2.724160904127902,0,0
3.25,1.8883298106221302,0.3,0.05,0.1,0.45,0.55,2.3332062106903253,3.8,1.935812083093974,0.55,0.4,-0.55,2.7810448623342614,0,0
3.25,1.8883298106221302,0.3,0.05,0.1,0.45,0.55,2.3332062106903253,3.9,1.8890264827766652,0.6,0.35,-0.65,2.719810364906464,0,0
3.15,1.954078056944394,0.3,0.05,0.1,0.45,0.55,2.263865113294684,3.8,1.8238190122579827,0.6,0.35,-0.65,2.719810364906464,0,0
3.0,1.9194297398747862,0.25,0.05,0.1,0.4,0.6,2.321127464681017,3.85,1.8144159564878983,0.65,0.3,-0.85,2.6611236249690506,0,0
3.1,1.9166857359844665,0.25,0.1,0.1,0.45,0.55,2.3588718397891903,4.0,1.8637822325921867,0.7,0.3,-0.9,2.673456268775054,0,0
2.95,1.8771478925557026,0.2,0.1,0.1,0.4,0.6,2.401609488402857,3.9,1.8035053587243282,0.7,0.3,-0.95,2.6847522673129642,0,0
3.15,1.8715318802914815,0.25,0.1,0.1,0.45,0.55,2.4282129371848313,3.7,1.7800059136507327,0.65,0.35,-0.55,2.6452539426400317,0,0
3.15,1.8715318802914815,0.25,0.1,0.1,0.45,0.55,2.4282129371848313,3.5,1.7320508075688772,0.6,0.4,-0.35,2.6011131220468307,0,0
3.1,1.8890264827766652,0.25,0.1,0.1,0.45,0.55,2.3659573122930047,3.35,1.814415956487898,0.55,0.45,-0.25,2.613225472174388,0,0
3.15,1.9540780569443943,0.2,0.1,0.15,0.45,0.55,2.408694960906672,3.45,1.79105966869954,0.6,0.45,-0.3,2.556724878680371,0,0
3.15,1.954078056944394,0.2,0.1,0.15,0.45,0.55,2.408694960906672,3.5,1.7320508075688772,0.6,0.45,-0.35,2.560324814919923,0,0
3.0,1.9194297398747862,0.15,0.1,0.15,0.4,0.6,2.390468562076658,3.45,1.6693837501494848,0.6,0.45,-0.45,2.625281939746262,0,0
3.1,1.860956177543373,0.15,0.1,0.15,0.4,0.6,2.485475288571164,3.4,1.6351404253232553,0.6,0.45,-0.3,2.494203807145468,0,0
3.05,1.79105966869954,0.2,0.1,0.1,0.4,0.6,2.460964038787511,3.3,1.6575187543592473,0.55,0.45,-0.25,2.5520889276702023,0,0
2.95,1.7312909694943341,0.15,0.1,0.1,0.35,0.65,2.485475288571164,3.45,1.5719582155957414,0.6,0.4,-0.5,2.3508117299081364,0,0
3.15,1.7252002172135512,0.2,0.1,0.1,0.4,0.6,2.5037016874011777,3.4,1.5008769366431642,0.6,0.4,-0.25,2.0994986870303363,0,0
3.3,1.7501879598308412,0.25,0.1,0.1,0.45,0.55,2.5037016874011777,3.5,1.3954814298487213,0.6,0.4,-0.2,2.142305693455191,0,0
3.35,1.6944180805158293,0.25,0.1,0.1,0.45,0.55,2.485475288571164,3.5,1.3954814298487213,0.6,0.4,-0.15,2.1343062474478063,0,0
3.25,1.6503588126605426,0.2,0.1,0.1,0.4,0.6,2.5037016874011777,3.5,1.3954814298487213,0.6,0.4,-0.25,2.022895267471328,0,0
3.25,1.6503588126605426,0.2,0.1,0.1,0.4,0.6,2.5037016874011777,3.45,1.3562719801759993,0.6,0.4,-0.2,2.067289096988207,0,0
3.35,1.5652475842498528,0.2,0.1,0.1,0.4,0.6,2.460964038787511,3.35,1.3088765773505318,0.55,0.4,0.0,1.8637822325921867,0,0
3.3,1.5593520921743176,0.2,0.05,0.1,0.35,0.65,2.3659573122930047,3.2,1.399247918291146,0.5,0.45,0.1,1.9166857359844667,0,0
3.35,1.496487114615601,0.2,0.05,0.1,0.35,0.65,2.2709505857984986,3.2,1.399247918291146,0.5,0.45,0.15,1.8431951662948316,0,0
3.45,1.4680814547887788,0.2,0.1,0.1,0.4,0.6,2.3659573122930047,3.2,1.399247918291146,0.5,0.45,0.25,1.7733405882980469,0,0
3.5,1.504379571363837,0.25,0.05,0.1,0.4,0.6,2.285475288571164,3.15,1.3088765773505318,0.5,0.45,0.35,1.6944180805158293,0,0
3.6,1.465390194130093,0.25,0.1,0.1,0.45,0.55,2.3659573122930047,3.25,1.446411166701189,0.5,0.45,0.35,1.6944180805158295,0,0
3.5,1.4327007988227578,0.2,0.1,0.1,0.4,0.6,2.3393538635110307,3.3,1.4179302929937965,0.5,0.4,0.2,1.5761378513048248,0,0
3.55,1.4317821063276355,0.2,0.15,0.1,0.45,0.55,2.408694960906672,3.3,1.4179302929937965,0.5,0.4,0.25,1.6181535936466533,0,0
3.55,1.4317821063276355,0.2,0.15,0.1,0.45,0.55,2.408694960906672,3.3,1.4179302929937965,0.5,0.4,0.25,1.6181535936466533,0,0
3.3,1.4179302929937965,0.2,0.15,0.05,0.4,0.6,2.408694960906672,3.35,1.4608937423083819,0.5,0.35,-0.05,1.8202082009311027,0,0
3.45,1.3168942730211068,0.2,0.2,0.05,0.45,0.55,2.3464393360148454,3.45,1.4317821063276355,0.55,0.35,0.0,1.8064212949190015,0,0
3.6,1.3138933706635727,0.25,0.2,0.05,0.5,0.5,2.3282129371848312,3.4,1.391704747876919,0.55,0.4,0.2,1.6733200530681511,0,0
3.6,1.3138933706635727,0.25,0.2,0.05,0.5,0.5,2.3282129371848312,3.5,1.504379571363837,0.55,0.4,0.1,1.8035053587243284,0,0
3.65,1.3869694338832115,0.2,0.2,0.1,0.5,0.5,2.408694960906672,3.45,1.5719582155957414,0.55,0.4,0.2,2.015727634065883,0,0
3.65,1.3869694338832113,0.2,0.2,0.1,0.5,0.5,2.408694960906672,3.4,1.5694450913417908,0.5,0.4,0.25,1.996707816698066,0,0
3.6,1.353358395757909,0.15,0.25,0.1,0.5,0.5,2.390468562076658,3.3,1.5252264715358452,0.45,0.45,0.3,2.0026298499197184,0,0
3.5,1.3178930553209385,0.1,0.25,0.1,0.45,0.55,2.321127464681017,3.4,1.5694450913417908,0.5,0.4,0.1,2.0235456115702615,0,0
3.65,1.3088765773505318,0.15,0.25,0.1,0.5,0.5,2.321127464681017,3.4,1.5694450913417908,0.5,0.45,0.25,2.1244194253340942,0,0
3.55,1.4317821063276355,0.15,0.25,0.1,0.5,0.5,2.4282129371848313,3.6,1.6351404253232553,0.55,0.4,-0.05,2.4165002967536595,0,0
3.3,1.4179302929937965,0.15,0.25,0.05,0.45,0.55,2.390468562076658,3.5,1.670171752907624,0.5,0.35,-0.2,2.375311613906246,0,0
3.3,1.4179302929937965,0.15,0.25,0.05,0.45,0.55,2.390468562076658,3.6,1.6982963599783725,0.55,0.35,-0.3,2.4083189157584592,0,0
3.35,1.4244112357114616,0.15,0.3,0.05,0.5,0.5,2.390468562076658,3.65,1.6311119875071343,0.55,0.35,-0.3,2.4083189157584592,0,0
3.5,1.4327007988227578,0.2,0.3,0.05,0.55,0.45,2.3282129371848312,3.65,1.631111987507134,0.55,0.4,-0.15,2.3902213066443956,0,0
3.4,1.465390194130093,0.2,0.25,0.05,0.5,0.5,2.4232196636793377,3.7,1.6575187543592476,0.55,0.4,-0.3,2.473012226755907,0,0
3.4,1.465390194130093,0.2,0.25,0.05,0.5,0.5,2.4232196636793377,3.5,1.7320508075688772,0.5,0.45,-0.1,2.653696528082647,0,0
3.4,1.465390194130093,0.2,0.25,0.05,0.5,0.5,2.4232196636793377,3.5,1.7320508075688772,0.5,0.45,-0.1,2.653696528082647,0,0
3.5,1.504379571363837,0.25,0.25,0.05,0.55,0.45,2.4232196636793377,3.6,1.759186414825121,0.55,0.45,-0.1,2.653696528082647,0,0
3.45,1.5035046776746235,0.25,0.2,0.05,0.5,0.5,2.4232196636793377,3.65,1.7252002172135512,0.55,0.4,-0.2,2.6076809620810595,0,0
3.5,1.4689774459950382,0.25,0.2,0.05,0.5,0.5,2.3282129371848312,3.85,1.6311119875071343,0.6,0.35,-0.35,2.621269278723372,0,0
3.65,1.3484884325167863,0.25,0.25,0.05,0.55,0.45,2.285475288571164,3.7,1.6575187543592473,0.55,0.4,-0.05,2.523051619306313,0,0
3.55,1.394538218230416,0.25,0.2,0.05,0.5,0.5,2.3659573122930047,3.75,1.6819474927657678,0.55,0.4,-0.2,2.6076809620810595,0,0
3.4,1.391704747876919,0.2,0.2,0.05,0.45,0.55,2.408694960906672,3.85,1.7554426642213128,0.55,0.35,-0.45,2.723677854048011,0,0
3.35,1.4244112357114613,0.2,0.2,0.05,0.45,0.55,2.4414460625093515,3.75,1.6819474927657678,0.55,0.35,-0.4,2.6832815729997477,0,0
3.1,1.3726654823065194,0.2,0.2,0.0,0.4,0.6,2.303701688843873,3.85,1.5652475842498528,0.55,0.3,-0.75,2.381397201556042,0,0
3.0,1.4509525002200232,0.2,0.2,0.0,0.4,0.6,2.321928087673887,3.75,1.6819474927657678,0.55,0.3,-0.75,2.381397201556042,0,0
2.85,1.4964871146156007,0.2,0.15,0.0,0.35,0.65,2.303701688843873,3.65,1.7851728502481654,0.55,0.25,-0.8,2.3530495331087184,0,0
2.85,1.4964871146156007,0.2,0.15,0.0,0.35,0.65,2.303701688843873,3.65,1.7851728502481652,0.55,0.25,-0.8,2.3530495331087184,0,0
2.85,1.496487114615601,0.2,0.15,0.0,0.35,0.65,2.303701688843873,3.6,1.8467610337532774,0.55,0.25,-0.75,2.4468024246479643,0,0
2.85,1.496487114615601,0.2,0.15,0.0,0.35,0.65,2.303701688843873,3.55,1.79105966869954,0.55,0.25,-0.7,2.364206776957237,0,0
2.85,1.4964871146156007,0.2,0.15,0.0,0.35,0.65,2.303701688843873,3.5,1.8496087779795347,0.55,0.25,-0.65,2.3680993933621335,0,0
3.0,1.6543403837370223,0.2,0.15,0.05,0.4,0.6,2.4659573122930047,3.4,1.8180382718454353,0.5,0.3,-0.4,2.4793887192315434,0,0
3.1,1.7740824166460336,0.2,0.1,0.1,0.4,0.6,2.5037016874011777,3.55,1.820208200931103,0.55,0.3,-0.45,2.438183102661747,0,0
3.0,1.7167901505579042,0.15,0.1,0.1,0.35,0.65,2.5037016874011777,3.5,1.820930936000652,0.5,0.25,-0.5,2.417044737516849,0,0
3.2,1.8238190122579827,0.15,0.1,0.15,0.4,0.6,2.528212937184831,3.4,1.7888543819998317,0.45,0.3,-0.2,2.46234804500437,0,0
3.15,1.7851728502481654,0.1,0.15,0.15,0.4,0.6,2.528212937184831,3.5,1.7013926184468013,0.45,0.3,-0.35,2.277463963548745,0,0
3.05,1.79105966869954,0.1,0.1,0.15,0.35,0.65,2.5037016874011777,3.35,1.598519051464429,0.4,0.3,-0.3,2.2501461940809184,0,0
2.85,1.7851728502481652,0.05,0.1,0.15,0.3,0.7,2.408694960906672,3.25,1.5517392618742702,0.35,0.3,-0.4,2.280350850198276,0,0
2.75,1.8317377426626162,0.05,0.1,0.15,0.3,0.7,2.3638651132946835,3.4,1.6670175069329811,0.4,0.3,-0.65,2.4978938496682614,0,0
2.85,1.8994459025837258,0.1,0.1,0.15,0.35,0.65,2.401609488402857,3.45,1.7312909694943341,0.4,0.3,-0.6,2.479388719231543,0,0
2.9,1.9439514830419642,0.15,0.05,0.15,0.35,0.65,2.3638651132946835,3.55,1.700619082322051,0.45,0.3,-0.65,2.433861994963214,0,0
2.85,1.9808291724745766,0.15,0.05,0.15,0.35,0.65,2.3086949609066716,3.45,1.669383750149485,0.4,0.3,-0.6,2.392972166464475,0,0
2.8,2.015727634065883,0.15,0.05,0.15,0.35,0.65,2.2199730853658046,3.45,1.669383750149485,0.4,0.3,-0.65,2.4767338424456895,0,0
3.0,2.127513992779762,0.15,0.05,0.2,0.4,0.6,2.1577174604739784,3.35,1.6944180805158295,0.35,0.35,-0.35,2.6611236249690506,0,0
